date,open,high,low,close,volume
2024-07-02,62830.94,63223.57,61000,62040.22,10688.64132628
2024-07-03,62039.44,62197.01,59332.76,60145.01,12066.71677065
2024-07-04,60145.01,60429.27,56709.73,57042.14,17969.35692426
2024-07-05,57036.45,57515.6,53499.9,56639.43,28052.41501655
2024-07-06,56634.53,58481.97,56020.32,58244.75,6449.32501293
2024-07-07,58240.36,58448.89,55717.23,55854.09,5320.91645368
2024-07-08,55852.61,58200,54278.93,56699.43,19043.04861272
2024-07-09,56701.18,58295.31,56276.37,58047.86,11757.76025902
2024-07-10,58047.86,59481.93,57157.28,57712.59,11619.63229345
2024-07-11,57713.4,59533.06,57036.41,57340.77,11433.53379518
2024-07-12,57343.66,58550,56538.33,57909.03,10516.60400149
2024-07-13,57908.61,59875,57770.92,59224.58,4255.10545721
2024-07-14,59224.58,61428.67,59209.2,60808.42,6132.37403058
2024-07-15,60804.97,64943.61,60666.59,64757.16,20601.73387957
2024-07-16,64757.16,65405.89,62410.33,65088.99,14691.92002303
2024-07-17,65086.55,66139,63853.99,64085.81,10647.79709095
2024-07-18,64085.82,65130.88,63222.6,63982.86,7637.52760383
2024-07-19,63977.64,67504.22,63289.15,66707.61,15163.05745737
2024-07-20,66707.61,67635,66271,67163.83,4671.38885135
2024-07-21,67163.82,68380,65820.18,68181.28,6027.86201344
2024-07-22,68181.16,68495,66569.42,67558.22,11844.79119584
2024-07-23,67560.03,67786.84,65444.3,65939.24,10791.03782177
2024-07-24,65939.24,67131.17,65090.61,65366.4,7702.25551129
2024-07-25,65358.86,66161.98,63412.46,65795.42,10452.25571747
2024-07-26,65795.52,68216.66,65705.6,67924.08,9315.20918753
2024-07-27,67921.46,69418.15,66635.28,67899.41,10233.62198513
2024-07-28,67901.81,68308.82,67021.8,68244.3,3505.5483691
2024-07-29,68244.3,70000,66400.01,66771.45,13641.48475825
2024-07-30,66767.14,66994.15,65283.68,66169.68,8733.57157991
2024-07-31,66169.68,66837.4,64500,64609.62,8986.37529253
2024-08-01,64609.61,65593.56,62212.81,65288.18,15636.72205775
2024-08-02,65293.48,65557.86,61150,61418.06,15390.00963957
2024-08-03,61418.06,62171.58,59819.13,60674.93,8019.39450918
2024-08-04,60674.93,61082.3,57123,58130.95,10319.01091658
2024-08-05,58131.31,58282.83,49050.01,54029.12,59125.78926672
2024-08-06,54037.9,57091.16,53965.57,56048.08,16897.67519536
2024-08-07,56048.07,57757.15,54564.15,55148.1,13971.5151871
2024-08-08,55144.14,62755.24,54737.32,61705.58,20623.04985861
2024-08-09,61704.05,61764.38,59552.46,60862.13,11569.80744379
2024-08-10,60864.71,61500,60255.61,60935.02,3157.63609699
2024-08-11,60935.01,61868.69,58312.63,58722.49,5229.37008498
2024-08-12,58717.44,60721.77,57653.31,59358.78,12183.92944247
2024-08-13,59358.78,61615.43,58402.01,60603.19,10879.76363828
2024-08-14,60603.19,61827.2,58453.56,58690.62,12938.61473824
2024-08-15,58690.62,59883.49,56120,57543.61,14506.63316989
2024-08-16,57543.57,59871.61,57096.56,58888.99,11930.21788221
2024-08-17,58888.99,59711.02,58803.45,59497.49,2787.56355634
2024-08-18,59497.49,60284.99,58422,58437.9,4325.64817169
2024-08-19,58436.2,59639.81,57820,59452.67,8539.29378706
2024-08-20,59455.81,61457.03,58571.96,59017.59,11062.05279919
2024-08-21,59017.59,61849.98,58793.89,61163.28,13380.11101719
2024-08-22,61167.54,61430.48,59750,60383.29,9608.6955368
2024-08-23,60383.28,64987,60343.2,64086.72,17852.77117167
2024-08-24,64091.63,64529.78,63564.22,64179.63,5020.91676004
2024-08-25,64179.63,65050.08,63793.74,64251.93,4012.30764642
2024-08-26,64250.01,64509.36,62806.8,62840,10741.96651081
2024-08-27,62840.09,63226.26,58025.49,59439.64,14195.89496578
2024-08-28,59437.68,60236.98,57851.62,59045.88,10001.12169866
2024-08-29,59047.94,61194.09,58729.39,59364.47,10933.22040343
2024-08-30,59353.12,59929.63,57700,59112.77,9382.9124508
2024-08-31,59117.59,59446.99,58739.31,58968.37,1368.21775121
2024-09-01,58968.37,59070.55,57200,57299,4411.05388122
2024-09-02,57291.21,59423,57119.01,59139.83,4318.6544603
2024-09-03,59138.89,59825.7,57394.49,57468.84,8264.44971184
2024-09-04,57460.5,58531.25,55555,57971,13715.96171494
2024-09-05,57971,58326.12,55628.04,56156.82,12281.57828747
2024-09-06,56156.82,56995,52530,53950.01,18495.45064356
2024-09-07,53950,54847,53733.1,54156.33,3284.57722628
2024-09-08,54159.6,55315.95,53623.95,54881.11,3684.86816392
2024-09-09,54881.1,58119.97,54565.56,57053.9,10203.03329517
2024-09-10,57047.82,58050.35,56377.76,57645.59,6433.21371111
2024-09-11,57641.15,58014.35,55534.41,57352.79,11678.94297124
2024-09-12,57352.92,58600,57311.15,58137.54,10175.62390483
2024-09-13,58137.33,60670,57630.01,60543.35,11935.95544754
2024-09-14,60543.35,60660,59436.8,60012.35,3147.39019631
2024-09-15,60012.34,60402.34,58695.75,59122.33,3975.3568185
2024-09-16,59122.7,59214.15,57477,58208.75,7654.10991835
2024-09-17,58209.76,61373.41,57620.27,60312.6,11701.89074715
2024-09-18,60317.38,61800,59174.5,61769.18,11471.50683029
2024-09-19,61770.38,63891.82,61569.16,62960.14,15075.86835522
2024-09-20,62956.04,64140.67,62340,63210.69,10636.1082809
2024-09-21,63210.94,63575.63,62755,63362.74,1960.85712028
2024-09-22,63362.74,64000,62380.55,63577.66,2882.2341982
2024-09-23,63580.39,64739.67,62566.28,63338.87,7014.74459935
2024-09-24,63338.85,64700,62689.15,64272.93,8933.46473574
2024-09-25,64272.93,64811,62932.8,63130.89,5909.09510453
2024-09-26,63131.13,65865,62652.99,65177.21,12789.85035505
2024-09-27,65176.39,66550,64827.85,65789,9529.0168808
2024-09-28,65787.53,66266.39,65400,65858.99,2755.22680581
2024-09-29,65857.33,66059,65433.29,65600.01,2721.35197741
2024-09-30,65600.01,65624.95,62833.95,63301.25,10629.74147917
2024-10-01,63305.52,64106.75,60150.89,60790,15970.80295516
2024-10-02,60792.63,62380.34,59969.2,60631.37,8764.03050337
2024-10-03,60631.36,61474.92,59824.87,60744.99,7834.55718072
2024-10-04,60745,62481,60454.5,62090.71,7884.21831808
2024-10-05,62090.7,62380.04,61686.34,62051.29,1783.56564961
2024-10-06,62051.29,62978.75,61805.85,62810.86,2086.21821773
2024-10-07,62810.93,64467.02,62113.28,62200.28,10707.1500015
2024-10-08,62203.82,63191.05,61824.48,62122.02,6566.33034742
2024-10-09,62118.44,62507.68,60255,60578.28,7582.36723494
2024-10-10,60578.28,61271.59,58863.9,60279.53,10462.57962276
2024-10-11,60279.53,63416.7,60029.98,62518.75,11454.9900534
2024-10-12,62518.75,63474.25,62464.15,63187.47,3943.90648994
2024-10-13,63183.08,63270.18,62033,62845.3,2257.61460657
2024-10-14,62847.89,66500,62426.67,66065.65,13638.71106556
2024-10-15,66065.64,67944.76,64778.44,67056.6,16324.01191342
2024-10-16,67056.62,68399,66743,67608.44,12465.75691229
2024-10-17,67608.45,67926.99,66629.97,67402.33,7912.22639285
2024-10-18,67399.86,69000.62,67149.24,68426.11,11802.74441943
2024-10-19,68426.11,68689.29,68005.83,68363.73,1868.86958754
2024-10-20,68363.73,69380,68083.18,69014.86,2632.89214855
2024-10-21,69014.87,69498,66802,67346.15,10226.59346669
2024-10-22,67346.15,67800,66535,67380.08,8598.06472763
2024-10-23,67389.7,67415.65,65149.51,66601.11,9021.17140157
2024-10-24,66601.1,68800,66445.32,68156.84,10016.19830413
2024-10-25,68156.84,68742.38,65500.01,66564.51,14485.49253537
2024-10-26,66564.51,67365.18,66331.95,67012.56,2949.2199701
2024-10-27,67008.15,68261.37,66836.78,67943.19,2819.59766921
2024-10-28,67943.18,70235.98,67532.48,69924.5,16140.14013624
2024-10-29,69924.49,73624.98,69705.76,72724.35,20616.91187006
2024-10-30,72724.35,72948.6,71400.01,72322.91,13543.49337837
2024-10-31,72322.91,72684.02,69559.33,70197.83,14726.78460342
2024-11-01,70198.02,71620,68720,69467.29,15295.28781188
2024-11-02,69466.64,69891.92,69000,69358.94,2203.99644104
2024-11-03,69360.95,69364.65,67444,68738.18,6758.88506466
2024-11-04,68736.4,69453.94,66783.77,67807.48,12431.01371517
2024-11-05,67810.15,70557.67,67427.53,69380.73,12867.66127618
2024-11-06,69380.64,76509.56,69285.82,75646.55,45398.11837369
2024-11-07,75646.55,76999,74463.96,75920,21932.40207681
2024-11-08,75925,77312.18,75654.26,76566.73,18378.39876264
2024-11-09,76566.72,76952.67,75758.58,76716.06,4836.57005338
2024-11-10,76716.06,81534.28,76535.33,80428.92,16728.21105103
2024-11-11,80427.69,89666,80277.34,88770.73,35560.11866694
